# Jam Session recommendation pack
# pack: jamon
# author: Jamon Holmgren
# updated: 2026-09-03
# schema: role<TAB>provider<TAB>model<TAB>effort<TAB>rank<TAB>note
# schema: role and provider are the filter columns; model and effort are passed
# schema: to `jamsession run` verbatim; rank 1 is the first choice for a role and
# schema: higher ranks are capacity fallbacks, not quality equivalents.
# evidence: Derived from the Gunship Origins agent-model routing notes and its
# evidence: dated local benchmark results, under one user's subscription mix.
# limitations: Advice is dated, not a live availability check. Confirm the model
# limitations: exists with `jamsession models <provider>` before running.
# limitations: Provider model ids drift; Cursor ids encode effort in the id, so
# limitations: those rows use default effort by design.
# limitations: Fallback ranks reflect quota capacity, not measured parity. Grok
# limitations: and Spark rows are economical breadth, not verified conclusions.
# limitations: No benchmark covered every role here; some rows are role judgment.
premium-default	claude	claude-opus-5	medium	1	Default premium Claude work.
premium-default	cursor	claude-opus-5	default	2	Capacity fallback when the native Claude pool is exhausted.
planning	claude	claude-opus-5	high	1	Primary plan draft; pair with a different family for ping-pong rounds.
planning	codex	gpt-5.6-sol	high	1	Independent plan draft from a second family.
planning	claude	claude-fable-5	medium	2	Hardest architecture planning where a quality edge justifies the quota.
implementation	claude	claude-opus-5	high	1	Substantial implementation or deep fresh architecture review.
implementation	codex	gpt-5.6-sol	high	1	Substantial Codex-family implementation, review, or synthesis.
hardest-analysis	claude	claude-fable-5	medium	1	Hardest analysis or debugging where a modest quality edge justifies quota.
independent-review	codex	gpt-5.6-sol	high	1	Prefer a family different from the author of the work under review.
independent-review	claude	claude-opus-5	high	1	Independent review when the author was a Codex or Grok family model.
discovery	grok	grok-4.6	high	1	Broad economical discovery, classification, or first-pass audit.
discovery	cursor	cursor-grok-4.6-high	default	2	Grok capacity fallback; the id encodes effort, so never a fast id.
economical-codex	codex	gpt-5.3-codex-spark	medium	1	Separate weekly bucket; user-authorized low-risk throughput only.
bounded-implementation	grok	grok-4.6	high	1	Bounded low-risk changes; verify material diffs with a premium model.
independent-voice	codex	gpt-5.6-terra	xhigh	1	Opportunistic second Codex voice, not the routine final editor.
extra-view	copilot	auto	default	1	Opportunistic extra view when quota allows; auto rejects explicit effort.
